PurchaseID,No Nota,SupplierID,TransactionDate,Remarks,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy
1,2013060075,1,2013-06-05,,2018-05-02,Admin,,
2,2013060088,1,2013-06-05,,2018-05-02,Admin,,
3,2013100210,1,2013-10-08,,2018-05-02,Admin,,
4,2013100140,1,2013-10-05,,2018-05-02,Admin,,
5,2013100119,1,2013-10-04,,2018-05-02,Admin,,
6,2013090414,1,2013-09-18,,2018-05-02,Admin,,
7,2013070548,1,2013-07-16,,2018-05-02,Admin,,
8,2013070184,1,2013-07-06,,2018-05-02,Admin,,
9,2013110382,1,2013-11-15,,2018-05-02,Admin,,
10,2013100486,1,2013-10-19,,2018-05-02,Admin,,
11,2013120486,1,2013-12-16,,2018-05-02,Admin,,
12,2013100023,1,2013-10-01,,2018-05-02,Admin,,
13,2013090085,1,2013-09-05,,2018-05-02,Admin,,
14,i/sl-002208,11,2015-02-04,,2018-05-02,Admin,,
15,3443,11,2014-08-14,,2018-05-02,Admin,,
16,4651,11,2014-08-21,,2018-05-02,Admin,,
17,1303,11,2013-10-26,,2018-05-02,Admin,,
18,603,11,2014-07-18,,2018-05-02,Admin,,
19,3409,11,2014-12-08,,2018-05-02,Admin,,
20,3409,11,2014-08-14,,2018-05-02,Admin,,
21,NA20140829,11,2014-08-29,,2018-05-02,Admin,,
22,1782,11,2013-11-22,,2018-05-02,Admin,,
23,665,11,2013-12-27,,2018-05-02,Admin,,
24,NA20140814,11,2014-08-14,,2018-05-02,Admin,,
25,NA20140812,11,2014-08-12,,2018-05-02,Admin,,
26,2842,11,2014-05-30,,2018-05-02,Admin,,
27,i/sl-0035317,11,2015-04-07,,2018-05-02,Admin,,
28,i/sl-0035316,11,2015-04-07,,2018-05-02,Admin,,
29,I/SL-003515,11,2015-04-07,,2018-05-02,Admin,,
30,I/SL-002777,11,2014-03-04,,2018-05-02,Admin,,
31,I/SL-002811,11,2014-03-04,,2018-05-02,Admin,,
32,836,12,2013-10-14,,2018-05-02,Admin,,
33,402,12,2013-09-27,,2018-05-02,Admin,,
34,105,12,2013-09-05,,2018-05-02,Admin,,
35,681,12,2013-08-15,,2018-05-02,Admin,,
36,894,12,2013-07-23,,2018-05-02,Admin,,
37,628,12,2013-07-30,,2018-05-02,Admin,,
38,705,12,2013-07-30,,2018-05-02,Admin,,
39,1474,19,2013-03-17,,2018-05-02,Admin,,
40,1475,19,2013-03-17,,2018-05-02,Admin,,
41,1484,19,2013-03-17,,2018-05-02,Admin,,
42,1476,19,2013-03-17,,2018-05-02,Admin,,
43,1477,19,2013-03-17,,2018-05-02,Admin,,
44,1480,19,2013-03-17,,2018-05-02,Admin,,
45,1481,19,2013-03-17,,2018-05-02,Admin,,
46,1492,19,2013-03-17,,2018-05-02,Admin,,
47,1489,19,2013-03-17,,2018-05-02,Admin,,
48,1490,19,2013-03-17,,2018-05-02,Admin,,
49,1487,19,2013-03-17,,2018-05-02,Admin,,
50,1488,19,2013-03-17,,2018-05-02,Admin,,
51,1456,19,2013-03-17,,2018-05-02,Admin,,
52,1457,19,2013-03-17,,2018-05-02,Admin,,
53,1478,19,2013-03-17,,2018-05-02,Admin,,
54,1479,19,2013-03-17,,2018-05-02,Admin,,
55,1482,19,2013-03-17,,2018-05-02,Admin,,
56,1483,19,2013-03-17,,2018-05-02,Admin,,
57,1486,19,2013-03-17,,2018-05-02,Admin,,
58,1491,19,2013-03-17,,2018-05-02,Admin,,
