PurchaseDetailsID,PurchaseID,ItemID,BranchID,Quantity,BuyPrice,RetailPrice,Price1,Price2,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy
1,1,20,1,1,14700,22500,0,0,2018-05-02,Admin,,
2,1,31,1,1,14700,22500,0,0,2018-05-02,Admin,,
3,1,42,1,1,14700,22500,0,0,2018-05-02,Admin,,
4,1,49,1,1,151900,195000,0,0,2018-05-02,Admin,,
5,1,50,1,1,7105,10000,0,0,2018-05-02,Admin,,
6,1,50,1,1,7105,10000,0,0,2018-05-02,Admin,,
7,1,52,1,1,100450,130000,0,0,2018-05-02,Admin,,
8,1,53,1,1,66150,87750,0,0,2018-05-02,Admin,,
9,1,54,1,1,171500,225000,0,0,2018-05-02,Admin,,
10,1,21,1,1,41160,55000,0,0,2018-05-02,Admin,,
11,1,22,1,1,35280,49000,0,0,2018-05-02,Admin,,
12,1,22,1,1,35280,49000,0,0,2018-05-02,Admin,,
13,1,24,1,1,23030,30000,0,0,2018-05-02,Admin,,
14,1,25,1,1,186200,240000,0,0,2018-05-02,Admin,,
15,1,26,1,1,34300,46000,0,0,2018-05-02,Admin,,
16,1,27,1,1,25480,35000,0,0,2018-05-02,Admin,,
17,1,28,1,1,206780,265000,0,0,2018-05-02,Admin,,
18,1,29,1,2,51940,35000,0,0,2018-05-02,Admin,,
19,1,30,1,1,89180,124000,0,0,2018-05-02,Admin,,
20,1,32,1,1,161700,225000,0,0,2018-05-02,Admin,,
21,2,33,1,5,18130,23000,0,0,2018-05-02,Admin,,
22,2,34,1,5,18130,23000,0,0,2018-05-02,Admin,,
23,2,35,1,5,18130,23000,0,0,2018-05-02,Admin,,
24,2,36,1,5,18130,23000,0,0,2018-05-02,Admin,,
25,2,37,1,5,23030,27000,0,0,2018-05-02,Admin,,
26,2,38,1,5,18130,23000,0,0,2018-05-02,Admin,,
27,2,39,1,2,16660,23000,0,0,2018-05-02,Admin,,
28,2,40,1,1,94570,125000,0,0,2018-05-02,Admin,,
29,2,41,1,1,91875,120000,0,0,2018-05-02,Admin,,
30,2,43,1,1,116130,149000,0,0,2018-05-02,Admin,,
31,2,44,1,1,118090,150000,0,0,2018-05-02,Admin,,
32,2,45,1,1,98490,126000,0,0,2018-05-02,Admin,,
33,2,46,1,1,179340,229000,0,0,2018-05-02,Admin,,
34,2,47,1,1,75215,96000,0,0,2018-05-02,Admin,,
35,2,48,1,1,91875,117000,0,0,2018-05-02,Admin,,
36,3,55,1,1,60000,85000,0,0,2018-05-02,Admin,,
37,3,56,1,1,60000,85000,0,0,2018-05-02,Admin,,
38,3,57,1,2,62000,85000,0,0,2018-05-02,Admin,,
39,3,58,1,1,60000,85000,0,0,2018-05-02,Admin,,
40,3,18,1,1,60000,85000,0,0,2018-05-02,Admin,,
41,4,16,1,1,60000,85000,0,0,2018-05-02,Admin,,
42,4,17,1,1,60000,85000,0,0,2018-05-02,Admin,,
43,4,18,1,1,60000,85000,0,0,2018-05-02,Admin,,
44,4,19,1,1,60000,85000,0,0,2018-05-02,Admin,,
45,5,15,1,3,46000,60000,0,0,2018-05-02,Admin,,
46,6,81,1,5,19000,27000,0,0,2018-05-02,Admin,,
47,6,81,1,5,19000,27000,0,0,2018-05-02,Admin,,
48,6,81,1,5,19000,27000,0,0,2018-05-02,Admin,,
49,6,88,1,3,26500,37000,0,0,2018-05-02,Admin,,
50,6,89,1,3,30000,42000,0,0,2018-05-02,Admin,,
51,6,90,1,5,3500,5000,0,0,2018-05-02,Admin,,
52,6,90,1,5,3500,5000,0,0,2018-05-02,Admin,,
53,6,92,1,20,1150,2000,0,0,2018-05-02,Admin,,
54,6,92,1,20,1150,2000,0,0,2018-05-02,Admin,,
55,6,82,1,20,1350,2000,0,0,2018-05-02,Admin,,
56,6,83,1,2,23000,32000,0,0,2018-05-02,Admin,,
57,6,83,1,1,23000,32000,0,0,2018-05-02,Admin,,
58,6,85,1,2,23000,32000,0,0,2018-05-02,Admin,,
59,7,76,1,5,20500,27000,0,0,2018-05-02,Admin,,
60,7,77,1,5,7000,12000,0,0,2018-05-02,Admin,,
61,7,78,1,4,25500,35000,0,0,2018-05-02,Admin,,
62,7,79,1,5,30000,40000,0,0,2018-05-02,Admin,,
63,7,80,1,5,45000,60000,0,0,2018-05-02,Admin,,
64,8,104,1,1,27500,35000,0,0,2018-05-02,Admin,,
65,8,107,1,1,39000,52000,0,0,2018-05-02,Admin,,
66,8,108,1,3,13000,20000,0,0,2018-05-02,Admin,,
67,8,110,1,1,38000,52000,0,0,2018-05-02,Admin,,
68,8,111,1,1,35500,50000,0,0,2018-05-02,Admin,,
69,8,112,1,1,35500,50000,0,0,2018-05-02,Admin,,
70,8,113,1,1,31000,50000,0,0,2018-05-02,Admin,,
71,8,114,1,1,31000,50000,0,0,2018-05-02,Admin,,
72,8,105,1,1,42000,60000,0,0,2018-05-02,Admin,,
73,8,106,1,1,42000,60000,0,0,2018-05-02,Admin,,
74,9,62,1,3,31500,44000,0,0,2018-05-02,Admin,,
75,9,63,1,3,23500,35000,0,0,2018-05-02,Admin,,
76,9,64,1,2,35000,50000,0,0,2018-05-02,Admin,,
77,9,65,1,1,300000,395000,0,0,2018-05-02,Admin,,
78,10,94,1,1,85500,116000,0,0,2018-05-02,Admin,,
79,10,95,1,1,97500,132000,0,0,2018-05-02,Admin,,
