ID KATEGORI;KODE KATEGORI;KATEGORI;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
1;PP;PEL;;;;
2;RA;RAK;;;;
3;SE;SEROK SAMPAH;;;;
4;SP;SAPU;;;;
5;EB;EMBER;;;;
6;NT;SENTER   ;;;;
7;KP;KURSI PLASTIK;;;;
8;BA;BAK;;;;
9;KJ;KERANJANG;;;;
10;PN;PIRING PLASTIK;;;;
11;RP;RAK PLASTIK;;;;
12;TM;TAMPAH;;;;
13;WK;WAKUL;;;;
14;TP;TOPLES PLASTIK;;;;
15;JH;JAS HUJAN;;;;
16;GB;GELAS BELING;;;;
17;PB;PIRING BELING;;;;
18;BP;BOTOL PLASTIK;;;;
19;MP;MANGKOK PLASTIK;;;;
20;LB;LOYANG BOLU;;;;
21;SA;SEENG ALUMUNIUM;;;;
22;LR;LEMARI;;;;
23;CP;CANGKIR PLASTIK;;;;
24;TO;TOPLES BELING;;;;
25;TT;TEMPAT TISU;;;;
26;YP;GAYUNG PLASTIK;;;;
27;WC;WAJAN COR;;;;
28;HA;HANGER;;;;
29;BL;BLENDER;;;;
30;DI;DISPENSER;;;;
31;EL;ESKAN LISTRIK;;;;
32;FP;FOOD PROCESSOR;;;;
33;FR;FRYPAN;;;;
34;KG;KOMPOR GAS;;;;
35;KO;KOMPOR PORTABLE;;;;
36;KS;KIPAS;;;;
37;MC;MAGIC COM;;;;
38;MI;MIXER;;;;
39;OL;OVEN LISTRIK;;;;
40;RX;RICE BOX;;;;
41;ST;SETRIKA;;;;
42;BS;BASKOM PLASTIK;;;;
43;TE;TEPAK;;;;
44;RT;RANTANG PLASTIK;;;;
45;TR;TERMOS;;;;
46;JP;JEMURAN PAKAIAN;;;;
47;RU;REGULATOR;;;;
48;AM;PIRING MELAMIN;;;;
49;MM;MANGKOK MELAMIN;;;;
50;DA;DANDANG ALUMUNIUM;;;;
51;DJ;DRINK JAR;;;;
52;PA;PANCI ALUMUNIUM;;;;
53;RB;RICE BUCKET;;;;
54;TA;TEKO ALUMUNIUM;;;;
55;KU;KASUR;;;;
56;NB;NON-BRAND;;;;
57;NP;NAMPAN PLASTIK;;;;
58;SG;SANGKU PLASTIK;;;;
59;SK;SIKAT;;;;
60;BE;BASKOM ENAMEL;;;;
61;NE;NAMPAN ENAMEL;;;;
62;RE;RANTANG ENAMEL;;;;
63;MB;MANGKOK BELING;;;;
64;KR;KARPET;;;;
65;RO;KASTROL;;;;
66;MA;MAGIC JAR;;;;
67;DG;DRIGEN;;;;
68;LA;LACI;;;;
69;TS;TEMPAT SAMPAH;;;;
70;KK;RAKET NYAMUK;;;;
71;LP;LAMPU;;;;
72;PM;POMPA  ;;;;
73;GP;GELAS PLASTIK;;;;
74;BX;BOX;;;;
75;ES;ESKAN;;;;
76;JE;JEPITAN;;;;
77;WJ;WATER JUG;;;;
78;PS;PISIN;;;;
79;CK;CANGKIR KERAMIK;;;;
80;MK;MANGKOK KERAMIK;;;;
81;PK;PIRING KERAMIK;;;;
82;TK;TIKAR;;;;
83;MJ;MEJA;;;;
84;AJ;WAJAN;;;;
85;AN;SAUCE PAN;;;;
86;DO;DUTCH OVEN;;;;
87;GE;GELAS MELAMIN;;;;
88;IU;PRIUK;;;;
89;OW;RICE BOWL;;;;
90;PG;PANGGANGAN;;;;
91;PI;PANCI PRESTO;;;;
92;RG;RANTANG;;;;
93;RI;SARINGAN  ;;;;
94;RN;RANTANG STENLIS;;;;
95;SB;SIRAMAN BUNGA;;;;
96;AI;BASKOM STAINLES;;;;
97;AP;LAP;;;;
98;AU;PISAU;;;;
99;BT;BANTAL;;;;
100;CA;CANGKIR STAINLES;;;;
101;CB;CETAKAN BOLU;;;;
102;CE;CANGKIR ENAMEL;;;;
103;CG;CELENGAN;;;;
104;CN;CETAKAN;;;;
105;DS;DANDANG STAINLESS;;;;
106;ED;KESED;;;;
107;EN;TALENAN;;;;
108;GA;TIMBANGAN;;;;
109;GG;GUNTING;;;;
110;GL;GALON;;;;
111;GM;GILINGAN MIE;;;;
112;GT;GENTONG;;;;
113;IK;GELAS MIKHA;;;;
114;IR;IRUS;;;;
115;JM;JAM;;;;
116;KA;KAPSTOK;;;;
117;MG;MUG STAINLES;;;;
118;ML;JAMIL;;;;
119;MS;MANGKOK STENLIS;;;;
120;NG;CANGKIR SENG;;;;
121;NS;NAMPAN STAINLES;;;;
122;OK;KAPSTOK STAINLES;;;;
123;OV;OVEN;;;;
124;PE;PIRING SENG;;;;
125;PL;PARCEL;;;;
126;PR;PARUT;;;;
127;PY;PAYUNG;;;;
128;RK;SEROK;;;;
129;RS;KURSI STAINLES;;;;
130;SI;SUMPIT;;;;
131;SN;SENDOK;;;;
132;SR;SARINGAN STAINLESS;;;;
133;SS;SEENG STAINLESS;;;;
134;UG;MUG ENAMEL;;;;
135;UK;SUSRUK;;;;
136;ME;MEJA PLASTIK;;;;
137;CS;CUP SEALER;;;;
138;RD;HAIR DRYER;;;;
139;BO;SEMPROTAN BOTOL;;;;
140;EM;TEMPAT SENDOK   ;;;;
141;OC;KOCOKAN;;;;
142;OT;POT   ;;;;
143;PC;PAPAN CUCI;;;;
144;TB;TEMPAT BOLU;;;;
145;TI;CENTONG PLASTIK;;;;
146;UM;TEMPAT BUMBU;;;;
147;RQ;RAK AQUA PLASTIK;;;;
148;TU;TUTUP SAJI;;;;
149;GC;GUCI;;;;
150;CI;PANCI ELEKTRONIK;;;;
151;TL;TEKO LISTRIK;;;;
152;OM;POMPA;;;;
