ITEMID;SessionID;CategoryID;UnitID;ItemName;ItemCode;BuyPrice;RetailPrice;Price1;QTY1;Price2;QTY2;weight;MinimumStock;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
1;;1;1;PEL DRAGON M;AGPP1;15750;21000;18000;12;19000;24;;;;;;
2;;1;1;PEL DRAGON L;AGPP2;18750;25000;21000;12;22000;24;;;;;;
3;;1;1;PEL LUBY DRAGON;AGPP3;60000;75000;66000;12;69000;24;;;;;;
4;;1;1;WIPER KACA DRAGON;AGPP4;96000;120000;106000;12;111000;24;;;;;;
5;;2;1;RAK PIRING NAGA DRAGON;AGRA5;120000;144000;130000;12;135000;24;;;;;;
6;;2;1;RAK PIRING NAGASAKI SSN4;AGRA6;125000;150000;135000;12;140000;24;;;;;;
7;;3;1;PENGKI DRAGON FLOREN;AGSE7;13000;17000;15000;12;15000;24;;;;;;
8;;4;1;SAPU + PENGKI MILANO;AGSP8;9166.666667;12000;11000;12;11000;24;;;;;;
9;;4;1;SAPU TAIWAN DRAGON;AGSP9;14000;19000;16000;12;17000;24;;;;;;
10;;4;1;SAPU MANILA DRAGON;AGSP10;13000;17000;15000;12;15000;24;;;;;;
11;;5;1;TC 14 HTM AJP;AJEB1;2900;4000;4000;12;4000;24;;;;;;
12;;6;1;SENTER KEPALA 10W+LP+KACA AK 3628A;AKNT1;55000;69000;61000;12;64000;24;;;;;;
13;;6;1;SENTER KEPALA 20W+LP+KACA AK 3629A;AKNT2;65000;82000;72000;12;75000;24;;;;;;
14;;6;1;SENTER LED AOKI AK 6629S;AKNT3;70000;88000;77000;12;81000;24;;;;;;
15;;6;1;SENTER JUMBO 3W+2 TUBE AK 6546;AKNT4;80000;100000;88000;12;92000;24;;;;;;
16;;7;1;KURSI BASO ROTAN MINI APOLISTAR JATI;AOKP1;13000;17000;15000;12;15000;24;;;;;;
17;;7;1;KURSI BASO ROTAN MINI APOLISTAR WARNA;AOKP2;14833;20000;17000;12;18000;24;;;;;;
18;;8;1;BAK SEGI AR ABU;ARBA1;9175;12000;11000;12;11000;24;;;;;;
19;;8;1;BAK SEGI AR WARNA;ARBA2;13250;18000;15000;12;16000;24;;;;;;
20;;9;1;TEMPAT SURAT AR 208 DX;ARKJ3;4637;7000;6000;12;6000;24;;;;;;
21;;9;1;KERANJANG PASAR MARINA AR FLO L;ARKJ4;36000;47000;40000;12;42000;24;;;;;;
22;;9;1;TEMPAT SURAT AR 108 SUPER;ARKJ5;;0;0;12;0;24;;;;;;
23;;10;1;PIRING 8 IN SPR AR @LSN;ARPN6;8600;12000;10000;12;10000;24;;;;;;
24;;11;1;TEMPAT SENDOK GARPU OLIVIA-AR;ARRP7;18375;24000;21000;12;22000;24;;;;;;
25;;11;1;RAK PIRING VANESSA AR SUSUN 2 ;ARRP8;43500;57000;48000;12;51000;24;;;;;;
26;;11;1;RAK PIRING VANESSA AR SUSUN 3;ARRP9;56200;71000;62000;12;65000;24;;;;;;
27;;12;1;TAMPAH AR 18 SUPER;ARTM10;4416;6000;5000;12;6000;24;;;;;;
28;;12;1;TAMPAH AR 20 SUPER;ARTM11;7950;11000;9000;12;10000;24;;;;;;
29;;13;1;BAKUL TELOR 35 NC AR;ARWK12;3750;5000;5000;12;5000;24;;;;;;
30;;13;1;BAKUL SBG/CENGKEH 20 SPR SPC AR;ARWK13;4250;6000;5000;12;5000;24;;;;;;
31;;13;1;BAKUL CENGKEH AR 20 SUPER;ARWK14;4250;6000;5000;12;5000;24;;;;;;
32;;14;1;TOPLES ASA 08;ASTP1;2875;4000;4000;12;4000;24;;;;;;
33;;14;1;PROPACK 737 ASA;ASTP2;4208;6000;5000;12;5000;24;;;;;;
34;;14;1;PROPACK 738 ASA;ASTP3;6375;9000;8000;12;8000;24;;;;;;
35;;15;1;JAS UJAN AXIO;AXJH1;240000;281000;252000;12;264000;24;;;;;;
