PurchaseID;PurchaseNumber;SupplierID;TransactionDate;PaymentTypeID;Deadline;Remarks;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
65;AJM10617;7;2017-06-10;1;;;2018-08-21;Admin1;;
66;AJM13418;7;2018-04-13;1;;;2018-08-21;Admin1;;
67;AJM13717;7;2017-07-13;1;;;2018-08-21;Admin1;;
68;AJM14717;7;2017-07-14;1;;;2018-08-21;Admin1;;
69;AJM16817;7;2017-08-16;1;;;2018-08-21;Admin1;;
70;AJM19917;7;2017-09-19;1;;;2018-08-21;Admin1;;
71;AJM21117;7;2017-01-21;1;;;2018-08-21;Admin1;;
72;AJM24217;7;2017-02-24;1;;;2018-08-21;Admin1;;
73;AJM26117;7;2017-01-26;1;;;2018-08-21;Admin1;;
74;AJM28217;7;2017-02-28;1;;;2018-08-21;Admin1;;
75;AJM291117;7;2017-11-29;1;;;2018-08-21;Admin1;;
76;AJM5518;7;2018-05-05;1;;;2018-08-21;Admin1;;
77;AJM5717;9;2017-07-05;1;;;2018-08-21;Admin1;;
78;AJM5717;7;2017-07-05;1;;;2018-08-21;Admin1;;
79;AJM8417;7;2017-04-08;1;;;2018-08-21;Admin1;;
80;AJM8518;7;2018-05-08;1;;;2018-08-21;Admin1;;
81;AJM91217;7;2017-12-09;1;;;2018-08-21;Admin1;;
82;AJM9517;7;2017-05-09;1;;;2018-08-21;Admin1;;
83;15/00/03/FPJ17/IBF103;13;2017-09-26;1;;;2018-08-21;Admin1;;
84;GM31717;14;2017-07-17;1;;;2018-08-21;Admin1;;
85;308;2;2018-02-21;1;;;2018-08-21;Admin1;;
86;341;2;2018-03-03;1;;;2018-08-21;Admin1;;
87;IM6118;2;2018-01-06;1;;;2018-08-21;Admin1;;
88;414;2;2018-03-06;1;;;2018-08-21;Admin1;;
89;JT25417;5;2017-04-25;1;;;2018-08-21;Admin1;;
90;JT2617;5;2017-06-02;1;;;2018-08-21;Admin1;;
91;FJ1708-01;5;2017-08-26;1;;;2018-08-21;Admin1;;
92;JT29417;5;2017-04-29;1;;;2018-08-21;Admin1;;
93;FJ1710-004388-F;5;2017-10-30;1;;;2018-08-21;Admin1;;
94;FJ1712-000334-F;5;2017-12-05;1;;;2018-08-21;Admin1;;
95;FJ1802-000602-F;5;2018-02-06;1;;;2018-08-21;Admin1;;
96;JT8717;5;2017-07-08;1;;;2018-08-21;Admin1;;
97;PJ1710-000071;15;2017-10-14;1;;;2018-08-21;Admin1;;
98;MM24717;15;2017-07-24;1;;;2018-08-21;Admin1;;
99;IF0001711-0041;16;2017-11-03;1;;;2018-08-21;Admin1;;
100;SJ0001708-0001;15;2017-08-31;1;;;2018-08-21;Admin1;;
101;MM4816;15;2017-04-08;1;;;2018-08-21;Admin1;;
102;KL1709-000047;15;2017-09-22;1;;;2018-08-21;Admin1;;
103;NPP18217;17;2017-02-18;1;;;2018-08-21;Admin1;;
104;12180200679;8;2018-02-13;1;;;2018-08-21;Admin1;;
105;11171100199;8;2017-11-02;1;;;2018-08-21;Admin1;;
106;MBL.SI18A-0008/SUG;4;2018-01-03;1;;;2018-08-21;Admin1;;
107;MBL.SI17I-0051/SUG;4;2017-09-05;1;;;2018-08-21;Admin1;;
108;OM7317;4;2017-03-07;1;;;2018-08-21;Admin1;;
109;PMS;17;2017-02-18;1;;;2018-08-21;Admin1;;
110;1806408;10;2018-03-28;1;;;2018-08-21;Admin1;;
111;PJL0016154;18;2017-09-11;1;;;2018-08-21;Admin1;;
112;PJL0016325;18;2017-09-18;1;;;2018-08-21;Admin1;;
113;PJL0016388;18;2017-09-20;1;;;2018-08-21;Admin1;;
114;PJL0017802;18;2017-11-28;1;;;2018-08-21;Admin1;;
115;PJL0018503;18;2018-01-03;1;;;2018-08-21;Admin1;;
116;RJM11117;19;2017-01-11;1;;;2018-08-21;Admin1;;
117;0614/JL/UTM/1117;20;2017-11-02;1;;;2018-08-21;Admin1;;
118;1341/JL/UTM/1217;20;2017-12-08;1;;;2018-08-21;Admin1;;
119;SN10417;6;2017-04-10;1;;;2018-08-21;Admin1;;
120;095501/17;6;2017-09-22;1;;;2018-08-21;Admin1;;
121;SN28717;6;2017-07-28;1;;;2018-08-21;Admin1;;
122;SN4317;6;2017-03-04;1;;;2018-08-21;Admin1;;
123;SN6117;6;2017-01-06;1;;;2018-08-21;Admin1;;
124;010252/B;6;2018-05-08;1;;;2018-08-21;Admin1;;
125;010256/B;6;2018-05-08;1;;;2018-08-21;Admin1;;
126;sp13417;12;2017-04-13;1;;;2018-08-21;Admin1;;
127;VK-1711069;12;2017-10-26;1;;;2018-08-21;Admin1;;
128;SP2617;12;2017-06-02;1;;;2018-08-21;Admin1;;
129;SP31517;12;2017-05-31;1;;;2018-08-21;Admin1;;
130;VK-1709381;12;2017-09-04;1;;;2018-08-21;Admin1;;
131;SP7117;25;2017-01-07;1;;;2018-08-21;Admin1;;
132;SP7117;26;2017-01-07;1;;;2018-08-21;Admin1;;
133;SP7117;27;2017-01-07;1;;;2018-08-21;Admin1;;
134;SP7117;28;2017-01-07;1;;;2018-08-21;Admin1;;
135;SP7317;12;2017-03-07;1;;;2018-08-21;Admin1;;
136;VK-1712510;12;2017-12-09;1;;;2018-08-21;Admin1;;
137;SPC10717;12;2017-07-10;1;;;2018-08-21;Admin1;;
138;VK1803939;12;2018-05-04;1;;;2018-08-21;Admin1;;
139;SPC7317;12;2017-03-07;1;;;2018-08-21;Admin1;;
140;SR2118;21;2018-01-02;1;;;2018-08-21;Admin1;;
141;t11517;20;2017-05-11;1;;;2018-08-21;Admin1;;
142;46;2;2018-01-15;1;;;2018-08-21;Admin1;;
143;T19217;20;2017-02-19;1;;;2018-08-21;Admin1;;
144;397;20;2017-08-19;1;;;2018-08-21;Admin1;;
145;T20317;20;2017-03-20;1;;;2018-08-21;Admin1;;
146;T22117;20;2017-01-22;1;;;2018-08-21;Admin1;;
147;3361;22;2017-12-04;1;;;2018-08-21;Admin1;;
148;T4617;20;2017-06-04;1;;;2018-08-21;Admin1;;
149;T6217;20;2017-02-06;1;;;2018-08-21;Admin1;;
150;225;2;2018-02-07;1;;;2018-08-21;Admin1;;
151;T9417;20;2017-04-09;1;;;2018-08-21;Admin1;;
152;T9717;20;2017-07-09;1;;;2018-08-21;Admin1;;
153;2574;22;2017-09-11;1;;;2018-08-21;Admin1;;
154;4037;22;2018-02-12;1;;;2018-08-21;Admin1;;
155;3130;22;2017-11-13;1;;;2018-08-21;Admin1;;
156;3834;22;2018-01-22;1;;;2018-08-21;Admin1;;
157;4139;22;2018-02-23;1;;;2018-08-21;Admin1;;
158;4456;22;2018-03-24;1;;;2018-08-21;Admin1;;
159;TJ2518;22;2018-05-02;1;;;2018-08-21;Admin1;;
160;tj3617;22;2017-06-03;1;;;2018-08-21;Admin1;;
161;TJ4/3/17;22;2017-03-04;1;;;2018-08-21;Admin1;;
162;tj7717;22;2017-07-07;1;;;2018-08-21;Admin1;;
163;TK10117;23;2017-01-10;1;;;2018-08-21;Admin1;;
164;tk27217;23;2017-02-27;1;;;2018-08-21;Admin1;;
165;TP10417;11;2017-04-10;1;;;2018-08-21;Admin1;;
166;TP11717;11;2017-07-11;1;;;2018-08-21;Admin1;;
167;TP12917;11;2017-09-12;1;;;2018-08-21;Admin1;;
168;TP22218;11;2018-02-22;1;;;2018-08-21;Admin1;;
169;TP23117;11;2017-01-23;1;;;2018-08-21;Admin1;;
170;TP28217;11;2017-02-28;1;;;2018-08-21;Admin1;;
171;TP41017;11;2017-10-04;1;;;2018-08-21;Admin1;;
172;TP61117;11;2017-11-06;1;;;2018-08-21;Admin1;;
173;TP8118;11;2018-01-08;1;;;2018-08-21;Admin1;;
174;TP81217;11;2017-12-08;1;;;2018-08-21;Admin1;;
175;UJ 2317;24;2017-03-02;1;;;2018-08-21;Admin1;;
176;AJM26117;7;2017-01-26;1;;;2018-08-21;Admin1;;
177;15/00/03/FPJ17/IBF103;13;2017-09-26;1;;;2018-08-21;Admin1;;
178;15/00/03/FP/17/IBF1004;13;2017-09-26;1;;;2018-08-21;Admin1;;
179;15/00/03/FP/17/IBF1005;13;2017-09-26;1;;;2018-08-21;Admin1;;
180;097775/17;13;2017-10-25;1;;;2018-08-21;Admin1;;
181;SN251017;13;2017-10-25;1;;;2018-08-21;Admin1;;
182;097771/17;6;2017-10-25;1;;;2018-08-21;Admin1;;
183;T4617;6;2017-06-04;1;;;2018-08-21;Admin1;;
184;T6217;6;2017-02-06;1;;;2018-08-21;Admin1;;
185;225;6;2018-02-07;1;;;2018-08-21;Admin1;;
186;T9417;6;2017-04-09;1;;;2018-08-21;Admin1;;
187;T9717;20;2017-07-09;1;;;2018-08-21;Admin1;;
188;VA2016020397;20;2016-02-20;1;;;2018-08-21;Admin1;;
189;va2016040408;20;2016-04-22;1;;;2018-08-21;Admin1;;
190;A533;20;2015-11-12;1;;;2018-08-21;Admin1;;
191;VA2016010397;20;2016-01-23;1;;;2018-08-21;Admin1;;
