PurchaseDetailsID;PurchaseID;ItemID;ItemDetailsID;BranchID;Quantity;BuyPrice;RetailPrice;Price1;Price2;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
248;65;200;;1;1;185000;207000;0;0;2018-08-21;Admin1;;
249;65;201;;1;0;17500;24000;0;0;2018-08-21;Admin1;;
250;65;202;;1;0;9500;13000;0;0;2018-08-21;Admin1;;
251;65;203;;1;5;37250;52000;0;0;2018-08-21;Admin1;;
252;66;204;;1;19;9850;15000;0;0;2018-08-21;Admin1;;
253;66;205;;1;3;20000;30000;0;0;2018-08-21;Admin1;;
254;66;206;;1;3;9000;15000;0;0;2018-08-21;Admin1;;
255;66;207;;1;10;18900;23000;0;0;2018-08-21;Admin1;;
256;66;208;;1;6;2750;5000;0;0;2018-08-21;Admin1;;
257;66;209;;1;5;11750;18000;0;0;2018-08-21;Admin1;;
258;66;210;;1;2;166500;187000;0;0;2018-08-21;Admin1;;
259;66;211;;1;2;8250;14000;0;0;2018-08-21;Admin1;;
260;66;212;;1;2;28500;43000;0;0;2018-08-21;Admin1;;
261;66;213;;1;2;40500;59000;0;0;2018-08-21;Admin1;;
262;66;214;;1;5;5000;9000;0;0;2018-08-21;Admin1;;
263;66;215;;1;5;42500;63000;0;0;2018-08-21;Admin1;;
264;66;216;;1;5;24650;36000;0;0;2018-08-21;Admin1;;
265;67;217;;1;2;136500;155000;0;0;2018-08-21;Admin1;;
266;67;218;;1;0;3850;6000;0;0;2018-08-21;Admin1;;
267;68;219;;1;2;40800;55000;0;0;2018-08-21;Admin1;;
268;69;220;;1;0;111740;130000;0;0;2018-08-21;Admin1;;
269;69;221;;1;2;137640;158000;0;0;2018-08-21;Admin1;;
270;69;222;;1;0;84000;120000;0;0;2018-08-21;Admin1;;
271;69;223;;1;2;126000;142000;0;0;2018-08-21;Admin1;;
272;70;224;;1;6;13000;16500;0;0;2018-08-21;Admin1;;
273;70;225;;1;0;11500;15000;0;0;2018-08-21;Admin1;;
274;70;226;;1;2;165000;187000;0;0;2018-08-21;Admin1;;
275;70;227;;1;3;28250;35000;0;0;2018-08-21;Admin1;;
276;70;228;;1;2;54500;68000;0;0;2018-08-21;Admin1;;
277;70;229;;1;1;66800;84000;0;0;2018-08-21;Admin1;;
278;70;230;;1;3;56000;70000;0;0;2018-08-21;Admin1;;
279;70;231;;1;1;46500;59000;0;0;2018-08-21;Admin1;;
280;71;232;;1;0;11700;15500;0;0;2018-08-21;Admin1;;
281;71;233;;1;0;8250;10000;0;0;2018-08-21;Admin1;;
282;71;234;;1;0;9250;12000;0;0;2018-08-21;Admin1;;
283;71;235;;1;0;20500;26000;0;0;2018-08-21;Admin1;;
284;72;236;;1;0;8500;11000;0;0;2018-08-21;Admin1;;
285;72;237;;1;5;23750;29000;0;0;2018-08-21;Admin1;;
286;73;238;;1;3;22000;30000;0;0;2018-08-21;Admin1;;
287;73;239;;1;1;23850;33000;0;0;2018-08-21;Admin1;;
288;73;240;;1;1;19250;26000;0;0;2018-08-21;Admin1;;
289;73;241;;1;1;143500;172000;0;0;2018-08-21;Admin1;;
290;73;242;;1;1;129500;150000;0;0;2018-08-21;Admin1;;
291;74;243;;1;3;15450;20000;0;0;2018-08-21;Admin1;;
292;74;244;;1;3;17250;23000;0;0;2018-08-21;Admin1;;
293;74;245;;1;5;44500;58000;0;0;2018-08-21;Admin1;;
294;74;246;;1;3;18000;25000;0;0;2018-08-21;Admin1;;
295;74;247;;1;20;9850;13000;0;0;2018-08-21;Admin1;;
296;74;248;;1;3;18500;25000;0;0;2018-08-21;Admin1;;
297;74;249;;1;3;14500;20000;0;0;2018-08-21;Admin1;;
298;74;250;;1;3;15000;20000;0;0;2018-08-21;Admin1;;
299;74;251;;1;1;14500;20000;0;0;2018-08-21;Admin1;;
300;75;252;;1;3;183000;208000;0;0;2018-08-21;Admin1;;
301;75;253;;1;2;217000;245000;0;0;2018-08-21;Admin1;;
302;75;254;;1;2;250000;280000;0;0;2018-08-21;Admin1;;
303;75;255;;1;30;8200;12000;0;0;2018-08-21;Admin1;;
304;75;256;;1;5;9250;14000;0;0;2018-08-21;Admin1;;
305;76;257;;1;20;2850;5000;0;0;2018-08-21;Admin1;;
306;76;258;;1;10;12150;20000;0;0;2018-08-21;Admin1;;
307;77;259;;1;0;9035;14000;0;0;2018-08-21;Admin1;;
308;77;260;;1;0;8100;12000;0;0;2018-08-21;Admin1;;
309;77;261;;1;5;9350;14000;0;0;2018-08-21;Admin1;;
310;77;262;;1;10;11000;16000;0;0;2018-08-21;Admin1;;
311;77;263;;1;1;22400;28000;0;0;2018-08-21;Admin1;;
312;77;264;;1;0;23650;29000;0;0;2018-08-21;Admin1;;
313;79;265;;1;2;102550;139500;0;0;2018-08-21;Admin1;;
314;79;266;;1;2;49500;70000;0;0;2018-08-21;Admin1;;
315;79;267;;1;3;28500;40000;0;0;2018-08-21;Admin1;;
316;79;268;;1;2;129000;175500;0;0;2018-08-21;Admin1;;
317;79;269;;1;5;2150;5000;0;0;2018-08-21;Admin1;;
318;79;270;;1;2;104800;148000;0;0;2018-08-21;Admin1;;
319;79;271;;1;2;112000;158000;0;0;2018-08-21;Admin1;;
320;79;272;;1;5;22080;32000;0;0;2018-08-21;Admin1;;
321;79;273;;1;0;9500;12500;0;0;2018-08-21;Admin1;;
322;79;274;;1;0;8250;12000;0;0;2018-08-21;Admin1;;
323;79;275;;1;0;14750;20000;0;0;2018-08-21;Admin1;;
324;80;276;;1;3;186000;210000;0;0;2018-08-21;Admin1;;
325;81;277;;1;0;22500;32000;0;0;2018-08-21;Admin1;;
326;81;278;;1;6;15500;22000;0;0;2018-08-21;Admin1;;
327;81;279;;1;8;8500;12000;0;0;2018-08-21;Admin1;;
328;81;280;;1;3;14500;21000;0;0;2018-08-21;Admin1;;
329;82;281;;1;2;9500;15000;0;0;2018-08-21;Admin1;;
