SupplierID;SupplierCode;SupplierName;Telephone;Address;City;Remarks;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
10;10;PT PRIMA TUNGGAL MANDIRI;;;;;21/08/2018;Admin1;;
11;11;TGP;;;;;21/08/2018;Admin1;;
12;12;S.P.C;;;;;21/08/2018;Admin1;;
13;13;PT.FUDORU INDONESIA;;;;;21/08/2018;Admin1;;
14;14;GUNUNG MAS INDAH;;;;;21/08/2018;Admin1;;
15;15;CV MEKAR MAJU BERSAMA;;;;;21/08/2018;Admin1;;
16;16;PT MAJU MULYA SEJAHTERA;;;;;21/08/2018;Admin1;;
17;17;PARTINDO MAS SEJAHTERA;;;;;21/08/2018;Admin1;;
18;18;RJM;;;;;21/08/2018;Admin1;;
19;19;RIA;;;;;21/08/2018;Admin1;;
20;20;TRANS MOTOR;;;;;21/08/2018;Admin1;;
21;21;SIDODADI;;;;;21/08/2018;Admin1;;
22;22;CV TIGA JAYA;;;;;21/08/2018;Admin1;;
23;23;TRISKA UTAMA;;;;;21/08/2018;Admin1;;
24;24;UJANG;;;;;21/08/2018;Admin1;;
25;25;SPD;;;;;21/08/2018;Admin1;;
26;26;MONSTER;;;;;21/08/2018;Admin1;;
27;27;CR7;;;;;21/08/2018;Admin1;;
28;28;GAJAH;;;;;21/08/2018;Admin1;;
